,City,Avg_Review
0,Abbeville,3.609375
1,Aberdeen,0.0
2,Abilene,4.147540983606557
3,Absecon,2.4545454545454546
4,Ada,3.8333333333333335
5,Aiken,2.142857142857143
6,Alamosa,3.676470588235294
7,Albany,3.051282051282051
8,Albert Lea,0.0
9,Albuquerque,3.6515151515151514
10,Alexandria,4.480168776371308
11,Allentown,0.0
12,Alliance,4.276315789473684
13,Alma,3.0
14,Alpharetta,4.206896551724138
15,Altoona,2.4166666666666665
16,Amarillo,1.5454545454545454
17,American Falls,3.5454545454545454
18,Ames,4.4035087719298245
19,Anaheim,2.8680555555555554
20,Anderson,3.945945945945946
21,Annapolis,3.350597609561753
22,Appleton,3.225806451612903
23,Archbald,0.0
24,Arcola,1.3333333333333333
25,Arlington,1.0476190476190477
26,Arvada,3.3035714285714284
27,Ashburn,3.918918918918919
28,Ashland,0.0
29,Aspen,4.8
30,Athens,0.0
31,Atlanta,3.370731707317073
32,Atlantic Beach,3.5445544554455446
33,Auburn,3.6911764705882355
34,Austin,4.226244343891403
35,Avalon,0.0
36,Baker City,3.727272727272727
37,Ballentine,0.0
38,Bangor,3.581818181818182
39,Bar Harbor,0.0
40,Baraboo,0.0
41,Barstow,3.2
42,Batesville,2.703125
43,Baton Rouge,0.0
44,Battle Creek,3.5764705882352943
45,Bay City,4.346153846153846
46,Bayside,0.0
47,Beach Haven,0.0
48,Beaumont,4.222222222222222
49,Bella Vista,4.775
50,Belle Fourche,2.6875
51,Bellefonte,5.0
52,Bellingham,0.5
53,Bellmawr,3.1228070175438596
54,Bend,4.095238095238095
55,Berea,0.0
56,Big Rapids,3.84
57,Big Sky,4.483870967741935
58,Big Spring,0.0
59,Billings,4.358974358974359
60,Biloxi,4.068622448979592
61,Binghamton,4.111111111111111
62,Birmingham,3.976878612716763
63,Bisbee,4.706896551724138
64,Bishop,0.0
65,Black River Falls,4.188405797101449
66,Blackwell,3.4193548387096775
67,Bloomingdale,0.0
68,Bloomington,4.0
69,Blythewood,3.1666666666666665
70,Bodega Bay,5.0
71,Boiling Springs,3.0
72,Boise,4.144927536231884
73,Bonita Springs,4.0476190476190474
74,Boone,2.855421686746988
75,Bordentown,1.0
76,Bossier City,3.4285714285714284
77,Boston,3.358288770053476
78,Bowie,0.0
79,Bowling Green,1.6857142857142857
80,Bowlinggreen,0.0
81,Bradenton,2.7096774193548385
82,Brandywine,1.0
83,Branson,4.02051282051282
84,Bristol,4.410958904109589
85,Brockton,1.5666666666666667
86,Brookfield,0.0
87,Brookings,2.5849056603773586
88,Bryant,4.739130434782608
89,Bryson City,2.5
90,Bucksport,0.0
91,Buena Park,2.0
92,Bull Shoals,4.0
93,Bunkie,0.0
94,Burdett,0.0
95,Burlington,3.703030303030303
96,Burnsville,1.4242424242424243
97,Burwell,3.5
98,Bushnell,0.0
99,Byron Center,0.0
100,Calhoun,4.104651162790698
101,Cambridge,3.8542372881355926
102,Camden,0.0
103,Canton,0.0
104,Canyonville,4.111111111111111
105,Carleton,0.0
106,Carlisle,0.0
107,Carlsbad,2.879310344827586
108,Carlstadt,4.385714285714286
109,Carnegie,0.0
110,Carrizo Springs,4.5
111,Carrollton,3.5357142857142856
112,Carson City,2.484375
113,Carthage,0.0
114,Cary,3.1846153846153844
115,Casco,0.0
116,Caseyville,0.0
117,Casper,0.0
118,Castle Rock,2.676470588235294
119,Catonsville,0.0
120,Cave Spring,4.236363636363636
121,Cedar Rapids,1.9579831932773109
122,Celina,4.3538461538461535
123,Champaign,0.0
124,Chantilly,4.2894736842105265
125,Charles Town,3.380952380952381
126,Charlotte,4.047058823529412
127,Chattanooga,4.03030303030303
128,Cheyenne,3.2605042016806722
129,Chicago,4.296296296296297
130,Chico,2.1475409836065573
131,Chinle,3.9342105263157894
132,Chippewa Falls,0.0
133,Clanton,3.1
134,Clare,0.0
135,Clatskanie,4.490566037735849
136,Cleveland,2.44
137,Clifton,4.611940298507463
138,Clinton,3.0
139,Clinton Township,2.1666666666666665
140,Cloquet,3.75
141,Coalville,4.2835820895522385
142,Cody,1.2222222222222223
143,Coeur D Alene,5.0
144,Colchester,4.5
145,College Park,0.0
146,Colorado City,0.0
147,Colorado Springs,4.525089605734767
148,Colton,3.244186046511628
149,Columbia,3.505
150,Columbia Falls,3.1549295774647885
151,Columbus,4.348101265822785
152,Concan,0.0
153,Conway,0.0
154,Cooperstown,4.923076923076923
155,Coralville,3.3727272727272726
156,Corbin,3.9885057471264367
157,Coronado,4.4
158,Corpus Christi,2.5
159,Corte Madera,0.0
160,Corydon,0.0
161,Coudersport,0.0
162,Cozad,3.3404255319148937
163,Cranberry Twp,4.2631578947368425
164,Crescent City,0.0
165,Crete,3.2162162162162162
166,Cripple Creek,3.6444444444444444
167,Crossville,4.185185185185185
168,Crystal Bay,0.0
169,Crystal Lake,4.018867924528302
170,Curitiba,4.181818181818182
171,Cushing,1.0
172,Cypress,0.0
173,Dahlonega,3.8380952380952382
