,City,NumofHotels
0,Abbeville,3
1,Aberdeen,2
2,Abilene,1
3,Absecon,1
4,Ada,1
5,Aiken,1
6,Alamosa,3
7,Albany,2
8,Albert Lea,1
9,Albuquerque,5
10,Alexandria,1
11,Allentown,1
12,Alliance,1
13,Alma,1
14,Alpharetta,1
15,Altoona,1
16,Amarillo,2
17,American Falls,1
18,Ames,1
19,Anaheim,2
20,Anderson,1
21,Annapolis,2
22,Appleton,1
23,Archbald,1
24,Arcola,1
25,Arlington,2
26,Arvada,1
27,Ashburn,1
28,Ashland,1
29,Aspen,1
30,Athens,1
31,Atlanta,5
32,Atlantic Beach,1
33,Auburn,2
34,Austin,4
35,Avalon,1
36,Baker City,1
37,Ballentine,1
38,Bangor,1
39,Bar Harbor,1
40,Baraboo,1
41,Barstow,1
42,Batesville,2
43,Baton Rouge,1
44,Battle Creek,1
45,Bay City,2
46,Bayside,1
47,Beach Haven,1
48,Beaumont,2
49,Bella Vista,1
50,Belle Fourche,1
51,Bellefonte,1
52,Bellingham,1
53,Bellmawr,1
54,Bend,1
55,Berea,1
56,Big Rapids,1
57,Big Sky,1
58,Big Spring,1
59,Billings,1
60,Biloxi,1
61,Binghamton,1
62,Birmingham,2
63,Bisbee,1
64,Bishop,1
65,Black River Falls,1
66,Blackwell,1
67,Bloomingdale,1
68,Bloomington,4
69,Blythewood,1
70,Bodega Bay,1
71,Boiling Springs,1
72,Boise,2
73,Bonita Springs,1
74,Boone,1
75,Bordentown,1
76,Bossier City,1
77,Boston,2
78,Bowie,2
79,Bowling Green,2
80,Bowlinggreen,1
81,Bradenton,1
82,Brandywine,1
83,Branson,3
84,Bristol,1
85,Brockton,1
86,Brookfield,1
87,Brookings,1
88,Bryant,1
89,Bryson City,2
90,Bucksport,1
91,Buena Park,1
92,Bull Shoals,1
93,Bunkie,1
94,Burdett,1
95,Burlington,5
96,Burnsville,2
97,Burwell,1
98,Bushnell,1
99,Byron Center,1
100,Calhoun,1
101,Cambridge,2
102,Camden,1
103,Canton,1
104,Canyonville,2
105,Carleton,1
106,Carlisle,1
107,Carlsbad,1
108,Carlstadt,1
109,Carnegie,1
110,Carrizo Springs,1
111,Carrollton,1
112,Carson City,1
113,Carthage,1
114,Cary,1
115,Casco,1
116,Caseyville,1
117,Casper,1
118,Castle Rock,1
119,Catonsville,1
120,Cave Spring,1
121,Cedar Rapids,2
122,Celina,1
123,Champaign,1
124,Chantilly,1
125,Charles Town,1
126,Charlotte,1
127,Chattanooga,2
128,Cheyenne,1
129,Chicago,3
130,Chico,1
131,Chinle,1
132,Chippewa Falls,1
133,Clanton,1
134,Clare,1
135,Clatskanie,1
136,Cleveland,2
137,Clifton,1
138,Clinton,1
139,Clinton Township,1
140,Cloquet,1
141,Coalville,1
142,Cody,3
143,Coeur D Alene,1
144,Colchester,1
145,College Park,2
146,Colorado City,1
147,Colorado Springs,3
148,Colton,1
149,Columbia,4
150,Columbia Falls,1
151,Columbus,5
152,Concan,1
153,Conway,1
154,Cooperstown,1
155,Coralville,1
156,Corbin,1
157,Coronado,1
158,Corpus Christi,1
159,Corte Madera,1
160,Corydon,1
161,Coudersport,1
162,Cozad,1
163,Cranberry Twp,1
164,Crescent City,1
165,Crete,1
166,Cripple Creek,1
167,Crossville,1
168,Crystal Bay,1
169,Crystal Lake,1
170,Curitiba,1
171,Cushing,1
172,Cypress,1
173,Dahlonega,1
174,Dallas,2
175,Danforth,1
176,Dayton,1
177,Deadwood,1
178,Deansboro,1
179,Decatur,1
180,Decorah,1
181,Deerfield,1
182,Deland,1
183,Delray Beach,1
184,Deming,1
185,Denver,2
186,Des Moines,1
187,Des Plaines,1
188,Detroit,1
189,Detroit Lakes,1
190,Devils Lake,1
191,Dillon,2
192,Dixfield,1
193,Dodge City,1
194,Douglas,1
195,Douglasville,1
196,Drums,1
197,Dublin,3
198,Duluth,1
199,Durango,2
200,Dutch Harbor,1
201,Eagle,1
202,Eagle River,1
203,East Hickory,1
204,East Peoria,1
205,East Saint Louis,1
206,East Syracuse,1
207,East Wenatchee,1
208,Eau Claire,1
209,Eden,1
210,Edinburg,1
211,Effingham,2
212,El Cerrito,1
213,El Paso,2
214,El Reno,1
215,Elk City,1
216,Elk Grove Village,1
217,Elkhart,1
218,Elko,3
219,Elkridge,1
220,Eloy,1
221,Ely,2
222,Emlenton,1
223,Emporia,1
224,Englewood,3
225,Enid,1
226,Ennis,1
227,Enterprise,3
228,Entriken,1
229,Erie,2
230,Eufaula,1
231,Eugene,2
232,Eureka,1
233,Exton,1
234,Fairmont,1
235,Fairview Heights,1
236,Fall River,1
237,Fayetteville,1
238,Fennville,1
239,Ferriday,1
240,Finlayson,1
241,Finleyville,1
242,Fitchburg,1
243,Florence,1
244,Floresville,1
245,Fond Du Lac,1
246,Fontana,1
247,Forest City,1
248,Forest Grove,1
249,Fort Bragg,2
250,Fort Collins,1
251,Fort Lauderdale,5
252,Fort Madison,1
253,Fort Myers,1
254,Fort Pierce,1
255,Fort Smith,1
256,Fort Walton Beach,1
257,Fort Wayne,1
258,Fort Worth,1
259,Franklin,1
260,Franklin Park,1
261,Freeport,1
262,Fremont,1
263,Friday Harbor,1
264,Fryeburg,2
265,Galena,1
266,Galesburg,1
267,Gallup,1
268,Garberville,1
269,Garden Grove,1
270,Gardena,1
271,Gatesville,1
272,Gatlinburg,1
273,Gaylord,2
